repo_name,commit_num,commit,code_slice,classification,result_two_steps
Python-Rootkit,0,49706,NEW@<module>@source_source.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Rootkit,0,49706,NEW@<module>@source_encodeSource.py_slice.py,Undetermined,Undetermined
Python-Rootkit,1,4a56f,<module>@source_source.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,1,4a56f,<module>@source_encodeSource.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,2,d1655,<module>@source_source.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,2,d1655,<module>@source_encodeSource.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,2,d1655,NEW@<module>@source_downloadFile.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Rootkit,3,49613,<module>@source_source.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,3,49613,<module>@source_encodeSource.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,3,49613,NEW@<module>@source_downloadFile.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Rootkit,4,0d4ec,<module>@source_source.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,4,0d4ec,<module>@source_encodeSource.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,4,0d4ec,NEW@<module>@source_downloadFile.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Rootkit,5,f9a5c,<module>@source_source.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,5,f9a5c,NEW@<module>@source_encodeSource.py_slice.py,Undetermined,Undetermined
Python-Rootkit,5,f9a5c,<module>@source_downloadFile.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,6,83d74,NEW@<module>@source_viRu5_source.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Rootkit,6,83d74,NEW@<module>@source_r0d_source.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Rootkit,6,83d74,NEW@<module>@source_r0d_encodeSource.py_slice.py,Undetermined,Undetermined
Python-Rootkit,6,83d74,NEW@<module>@source_viRu5_encodeSource.py_slice.py,Undetermined,Undetermined
Python-Rootkit,7,4f617,<module>@source_viRu5_source.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,7,4f617,NEW@<module>@source_h00k_encodeSource.py_slice.py,Undetermined,Undetermined
Python-Rootkit,7,4f617,NEW@<module>@source_h00k_source.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Rootkit,7,4f617,<module>@source_viRu5_encodeSource.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,8,06c25,NEW@<module>@viRu5_source.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Rootkit,8,06c25,NEW@<module>@h00k_encodeSource.py_slice.py,Undetermined,Undetermined
Python-Rootkit,8,06c25,NEW@<module>@h00k_source.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Rootkit,8,06c25,NEW@<module>@viRu5_encodeSource.py_slice.py,Undetermined,Undetermined
Python-Rootkit,9,a93e9,NEW@<module>@viRu5_source.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Rootkit,9,a93e9,<module>@h00k_encodeSource.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,9,a93e9,NEW@<module>@h00k_source.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Rootkit,9,a93e9,<module>@viRu5_encodeSource.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,10,0c7c9,<module>@h00k_encodeSource.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,10,0c7c9,<module>@viRu5_source.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Rootkit,10,0c7c9,NEW@<module>@viRu5_encodeSource.py_slice.py,Undetermined,Undetermined
Python-Rootkit,10,0c7c9,<module>@h00k_source.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,1,b2089,NEW@<module>@main.py_slice.py,Undetermined,Undetermined
Python-Trojan,2,44b19,NEW@<module>@main.py_slice.py,Undetermined,Undetermined
Python-Trojan,3,94f78,NEW@<module>@main.py_slice.py,Undetermined,Undetermined
Python-Trojan,4,f101c,<module>@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,5,46687,NEW@<module>@main.py_slice.py,Undetermined,Undetermined
Python-Trojan,6,f2c0d,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,7,66103,<module>@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,8,4707e,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,9,a3b3f,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,9,a3b3f,NEW@on_ready@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,10,ef777,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,10,ef777,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,11,ebfa5,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,11,ebfa5,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,12,28e72,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,12,28e72,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,13,27671,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,13,27671,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,13,27671,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,14,ca2be,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,14,ca2be,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,14,ca2be,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,15,1f06f,NEW@<module>@main.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Trojan,15,1f06f,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,15,1f06f,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,16,d4d71,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,16,d4d71,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,16,d4d71,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,17,1878b,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,17,1878b,NEW@on_ready@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,17,1878b,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,18,af297,NEW@<module>@main.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Trojan,18,af297,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,18,af297,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,19,114fa,<module>@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,19,114fa,on_message@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,19,114fa,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,20,84747,NEW@<module>@main.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Trojan,20,84747,NEW@on_ready@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,20,84747,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,21,2e587,NEW@<module>@main.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Trojan,21,2e587,on_ready@main.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Python-Trojan,21,2e587,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,22,8cc51,NEW@<module>@main.py_slice.py,Full Attack Chain,Full Attack Chain
Python-Trojan,22,8cc51,NEW@on_ready@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,22,8cc51,NEW@on_message@main.py_slice.py,Core Attack Chain,Core Attack Chain
Python-Trojan,23,c7f9f,NEW@<module>@main.py_slice.py,Full Attack Chain,Full Attack Chain
